end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2022-06-30,11489000000,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-06-30,11489000000,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-06-30,11489000000,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-06-30,11489000000,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-09-30,11660000000,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,CY2022Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-12-31,11998000000,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,CY2022Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2023-03-31,12312000000,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,CY2023Q1I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2023-06-30,12728000000,0000950170-23-035122,2023,FY,10-K,2023-07-27,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2023-06-30,12728000000,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2023-06-30,12728000000,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2023-09-30,13487000000,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,CY2023Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2023-12-31,14155000000,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
