Ticker,Company Name,CIK,Sector,Industry
MXC,MEXCO ENERGY CORP,0000066418,Energy,Oil & Gas E&P
SPND,SPINDLETOP OIL & GAS CO,0000867038,Energy,Oil & Gas E&P
LRDC,"Laredo Oil, Inc.",0001442492,Energy,Oil & Gas E&P
MTR,MESA ROYALTY TRUST/TX,0000313364,Energy,Oil & Gas E&P
CEI,"CAMBER ENERGY, INC.",0001309082,Energy,Oil & Gas E&P
TRLEF,Trillion Energy International Inc.,0001648636,Energy,Oil & Gas E&P
HUSA,HOUSTON AMERICAN ENERGY CORP,0001156041,Energy,Oil & Gas E&P
BKUCF,BLUE SKY URANIUM CORP.,0001463978,Energy,Uranium
VYEY,"VICTORY OILFIELD TECH, INC.",0000700764,Energy,Oil & Gas Equipment & Services
OILY,Sino American Oil Co,0001367408,Energy,Oil & Gas E&P
SRNW,Stratos Renewables Corp,0001321517,Energy,Oil & Gas Refining & Marketing
EGYF,ENERGY FINDERS INC,0000876235,Energy,Oil & Gas E&P
SNMP,Evolve Transition Infrastructure LP,0001362705,Energy,Oil & Gas Midstream
NSFDF,NXT Energy Solutions Inc.,0001009922,Energy,Oil & Gas Equipment & Services
MARPS,MARINE PETROLEUM TRUST,0000062362,Energy,Oil & Gas Midstream
GWTI,GREENWAY TECHNOLOGIES INC,0001572386,Energy,Oil & Gas Equipment & Services
ECTM,ECA Marcellus Trust I,0001487798,Energy,Oil & Gas Integrated
KLNG,"Koil Energy Solutions, Inc.",0001110607,Energy,Oil & Gas Equipment & Services
ENSV,Enservco Corp,0000319458,Energy,Oil & Gas Equipment & Services
TPET,Trio Petroleum Corp.,0001898766,Energy,Oil & Gas E&P
GULTU,Gulf Coast Ultra Deep Royalty Trust,0001565146,Energy,Oil & Gas E&P
PTCO,PetroGas Co,0001609258,Energy,Oil & Gas E&P
NRIS,"Norris Industries, Inc.",0001603793,Energy,Oil & Gas E&P
ROYL,"Royale Energy, Inc.",0001694617,Energy,Oil & Gas E&P
ALTX,ALTEX INDUSTRIES INC,0000775057,Energy,Oil & Gas E&P
OILCF,Permex Petroleum Corp,0001922639,Energy,Oil & Gas E&P
CRCE,"Circle Energy, Inc./NV",0001911467,Energy,Oil & Gas E&P
SSOF,"Sixty Six Oilfield Services, Inc.",0001935435,Energy,Oil & Gas Equipment & Services
FECOF,FEC Resources Inc.,0000849997,Energy,Oil & Gas E&P
GRVE,GROOVE BOTANICALS INC.,0000918573,Energy,Oil & Gas E&P
REOS,ReoStar Energy CORP,0001335288,Energy,Oil & Gas E&P
GSPE,"GULFSLOPE ENERGY, INC.",0001341726,Energy,Oil & Gas E&P
NXMR,NextMart Inc.,0001088005,Energy,Oil & Gas Equipment & Services
VBHI,"VERDE BIO HOLDINGS, INC.",0001490054,Energy,Oil & Gas E&P
AMNI,"AMERICAN NOBLE GAS, INC.",0000822746,Energy,Oil & Gas E&P
AURI,AURI INC,0001092802,Energy,Oil & Gas Equipment & Services
SPOWF,Strata Power Corp,0001227282,Energy,Oil & Gas E&P
QREE,QUANTUM ENERGY INC.,0001295961,Energy,Oil & Gas Refining & Marketing
DBRM,"DAYBREAK OIL & GAS, INC.",0001164256,Energy,Oil & Gas E&P
MMEX,MMEX Resources Corp,0001440799,Energy,Oil & Gas E&P
PCCYF,PETROCHINA CO LTD,0001108329,Energy,Oil & Gas Integrated
SNPMF,CHINA PETROLEUM & CHEMICAL CORP,0001123658,Energy,Oil & Gas Integrated
ATGFF,AltaGas Ltd.,0001695519,Energy,Oil & Gas Midstream
THNPF,Technip Energies N.V.,0001792045,Energy,Oil & Gas Equipment & Services
SAPMF,SAIPEM S P A /FI,0001062750,Energy,Oil & Gas Equipment & Services
SPTJF,SINOPEC SHANGHAI PETROCHEMICAL CO LTD,0000908732,Energy,Oil & Gas Refining & Marketing
GLOG-PA,GasLog Ltd.,0001534126,Energy,Oil & Gas Midstream
