Ticker,Company Name,CIK,Sector,Industry
BRLS,Oxus Acquisition Corp.,0001852973,Consumer Defensive,Packaged Foods
NTCO,Natura &Co Holding S.A.,0001776967,Consumer Defensive,Household & Personal Products
GWLL,"GOLDENWELL BIOTECH, INC.",0001800373,Consumer Defensive,Packaged Foods
BRCNF,Burcon NutraScience Corp,0001158399,Consumer Defensive,Packaged Foods
QOEG,Quality Online Education Group Inc.,0001439237,Consumer Defensive,Education & Training Services
MCLE,Medicale Corp.,0001827855,Consumer Defensive,Food Distribution
ASPU,"ASPEN GROUP, INC.",0001487198,Consumer Defensive,Education & Training Services
GLUC,"Glucose Health, Inc.",0001420108,Consumer Defensive,Packaged Foods
LMDCF,LINGO MEDIA CORP,0001177167,Consumer Defensive,Education & Training Services
BLEG,"Branded Legacy, Inc.",0001794311,Consumer Defensive,Packaged Foods
FKST,"Flowerkist Skin Care & Cosmetics, Inc.",0001458023,Consumer Defensive,Household & Personal Products
SGLA,Sino Green Land Corp.,0001433551,Consumer Defensive,Farm Products
ZVOI,Zovio Inc,0001305323,Consumer Defensive,Education & Training Services
SUWN,"SUNWIN STEVIA INTERNATIONAL, INC.",0000806592,Consumer Defensive,Farm Products
HVCW,HARRISON VICKERS & WATERMAN INC,0001472847,Consumer Defensive,Beverages—Brewers
WNBD,Winning Brands Corp,0001114898,Consumer Defensive,Household & Personal Products
DTEAF,DAVIDsTEA Inc.,0001627606,Consumer Defensive,Packaged Foods
BRWC,Birdie Win Corp,0001873213,Consumer Defensive,Education & Training Services
ITOR,"Intorio, Corp.",0001852536,Consumer Defensive,Education & Training Services
