end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK,start
2018-12-31,-2013000000.0,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,CY2018Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-03-31,-1265000000.0,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,CY2019Q1I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-06-30,-340000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-06-30,-340000000.0,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-06-30,-340000000.0,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-06-30,-340000000.0,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-06-30,-340000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-09-30,-61000000.0,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,CY2019Q3I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2019-12-31,-255000000.0,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,CY2019Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-03-31,2676000000.0,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,CY2020Q1I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-06-30,3186000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-06-30,3186000000.0,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-06-30,3186000000.0,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-06-30,3186000000.0,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-06-30,3186000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-09-30,3110000000.0,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,CY2020Q3I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2020-12-31,3367000000.0,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,CY2020Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-03-31,1462000000.0,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,CY2021Q1I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-06-30,1822000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-06-30,1822000000.0,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-06-30,1822000000.0,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-06-30,1822000000.0,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-06-30,1822000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-09-30,1283000000.0,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,CY2021Q3I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2021-12-31,437000000.0,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,CY2021Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-03-31,-2476000000.0,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,CY2022Q1I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-06-30,-4678000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-06-30,-4678000000.0,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-06-30,-4678000000.0,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-06-30,-4678000000.0,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-06-30,-4678000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-09-30,-7343000000.0,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,CY2022Q3I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2022-12-31,-6457000000.0,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,CY2022Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2023-03-31,-5644000000.0,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,CY2023Q1I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2023-06-30,-6343000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2023-06-30,-6343000000.0,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2023-06-30,-6343000000.0,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q2I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2023-09-30,-6937000000.0,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,CY2023Q3I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2023-12-31,-4949000000.0,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,MSFT,0000789019,
2009-06-30,354000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2I,AcquiredFiniteLivedIntangibleAssetAmount,USD,MSFT,0000789019,
2010-06-30,343000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,AcquiredFiniteLivedIntangibleAssetAmount,USD,MSFT,0000789019,
2010-06-30,343000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,,AcquiredFiniteLivedIntangibleAssetAmount,USD,MSFT,0000789019,
2011-06-30,122000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,AcquiredFiniteLivedIntangibleAssetAmount,USD,MSFT,0000789019,
2011-06-30,122000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,,AcquiredFiniteLivedIntangibleAssetAmount,USD,MSFT,0000789019,
2012-06-30,3026000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2012Q2I,AcquiredFiniteLivedIntangibleAssetAmount,USD,MSFT,0000789019,
2010-06-30,4.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010,AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife,Year,MSFT,0000789019,2009-07-01
2011-06-30,3.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2011,AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife,Year,MSFT,0000789019,2010-07-01
2008-06-30,1200000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,AdvertisingExpense,USD,MSFT,0000789019,2007-07-01
2009-06-30,1400000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,,AdvertisingExpense,USD,MSFT,0000789019,2008-07-01
2009-06-30,1400000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,AdvertisingExpense,USD,MSFT,0000789019,2008-07-01
2010-06-30,1600000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,,AdvertisingExpense,USD,MSFT,0000789019,2009-07-01
2010-06-30,1600000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,,AdvertisingExpense,USD,MSFT,0000789019,2009-07-01
2010-06-30,1600000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,AdvertisingExpense,USD,MSFT,0000789019,2009-07-01
2011-06-30,1900000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,,AdvertisingExpense,USD,MSFT,0000789019,2010-07-01
2011-06-30,1900000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,,AdvertisingExpense,USD,MSFT,0000789019,2010-07-01
2011-06-30,1900000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AdvertisingExpense,USD,MSFT,0000789019,2010-07-01
2011-06-30,1900000000.0,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,AdvertisingExpense,USD,MSFT,0000789019,2010-07-01
2012-06-30,1600000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,,AdvertisingExpense,USD,MSFT,0000789019,2011-07-01
2012-06-30,1600000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AdvertisingExpense,USD,MSFT,0000789019,2011-07-01
2012-06-30,1600000000.0,0001193125-13-455144,2013,FY,8-K,2013-11-26,,AdvertisingExpense,USD,MSFT,0000789019,2011-07-01
2012-06-30,1600000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012,AdvertisingExpense,USD,MSFT,0000789019,2011-07-01
2013-06-30,2600000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AdvertisingExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2600000000.0,0001193125-13-455144,2013,FY,8-K,2013-11-26,,AdvertisingExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2600000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2600000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2600000000.0,0001193125-15-353706,2015,FY,8-K,2015-10-27,CY2013,AdvertisingExpense,USD,MSFT,0000789019,2012-07-01
2014-06-30,2300000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2013-07-01
2014-06-30,2300000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2013-07-01
2014-06-30,2300000000.0,0001193125-15-353706,2015,FY,8-K,2015-10-27,,AdvertisingExpense,USD,MSFT,0000789019,2013-07-01
2014-06-30,2300000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2014,AdvertisingExpense,USD,MSFT,0000789019,2013-07-01
2015-06-30,1900000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2014-07-01
2015-06-30,1900000000.0,0001193125-15-353706,2015,FY,8-K,2015-10-27,,AdvertisingExpense,USD,MSFT,0000789019,2014-07-01
2015-06-30,1900000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,,AdvertisingExpense,USD,MSFT,0000789019,2014-07-01
2015-06-30,1900000000.0,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2015,AdvertisingExpense,USD,MSFT,0000789019,2014-07-01
2016-06-30,1600000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,,AdvertisingExpense,USD,MSFT,0000789019,2015-07-01
2016-06-30,1600000000.0,0001564590-17-014900,2017,FY,10-K,2017-08-02,,AdvertisingExpense,USD,MSFT,0000789019,2015-07-01
2016-06-30,1600000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016,AdvertisingExpense,USD,MSFT,0000789019,2015-07-01
2017-06-30,1500000000.0,0001564590-17-014900,2017,FY,10-K,2017-08-02,,AdvertisingExpense,USD,MSFT,0000789019,2016-07-01
2017-06-30,1500000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,AdvertisingExpense,USD,MSFT,0000789019,2016-07-01
2017-06-30,1500000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017,AdvertisingExpense,USD,MSFT,0000789019,2016-07-01
2018-06-30,1600000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,,AdvertisingExpense,USD,MSFT,0000789019,2017-07-01
2018-06-30,1600000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,,AdvertisingExpense,USD,MSFT,0000789019,2017-07-01
2018-06-30,1600000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2018,AdvertisingExpense,USD,MSFT,0000789019,2017-07-01
2019-06-30,1600000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,,AdvertisingExpense,USD,MSFT,0000789019,2018-07-01
2019-06-30,1600000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2018-07-01
2019-06-30,1600000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2019,AdvertisingExpense,USD,MSFT,0000789019,2018-07-01
2020-06-30,1600000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,,AdvertisingExpense,USD,MSFT,0000789019,2019-07-01
2020-06-30,1600000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,,AdvertisingExpense,USD,MSFT,0000789019,2019-07-01
2020-06-30,1600000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2020,AdvertisingExpense,USD,MSFT,0000789019,2019-07-01
2021-06-30,1500000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,,AdvertisingExpense,USD,MSFT,0000789019,2020-07-01
2021-06-30,1500000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,,AdvertisingExpense,USD,MSFT,0000789019,2020-07-01
2021-06-30,1500000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2021,AdvertisingExpense,USD,MSFT,0000789019,2020-07-01
2022-06-30,1500000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,,AdvertisingExpense,USD,MSFT,0000789019,2021-07-01
2022-06-30,1500000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022,AdvertisingExpense,USD,MSFT,0000789019,2021-07-01
2023-06-30,904000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2023,AdvertisingExpense,USD,MSFT,0000789019,2022-07-01
2008-06-30,1479000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2007-07-01
2009-06-30,1708000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2008-07-01
2009-06-30,1708000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2008-07-01
2009-09-30,443000000.0,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2009Q3,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-07-01
2009-12-31,928000000.0,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-07-01
2009-12-31,485000000.0,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2009Q4,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-10-01
2010-03-31,1409000000.0,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-07-01
2010-03-31,481000000.0,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2010Q1,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-01-01
2010-06-30,1891000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-07-01
2010-06-30,1891000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-07-01
2010-06-30,1891000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2009-07-01
2010-09-30,528000000.0,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2010-09-30,528000000.0,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2010Q3,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2010-12-31,1081000000.0,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2010-12-31,1081000000.0,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2010-12-31,553000000.0,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-10-01
2010-12-31,553000000.0,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2010Q4,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-10-01
2011-03-31,1622000000.0,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2011-03-31,1622000000.0,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2011-03-31,541000000.0,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-01-01
2011-03-31,541000000.0,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2011Q1,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-01-01
2011-06-30,2166000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2011-06-30,2166000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2011-06-30,2166000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2011-06-30,2166000000.0,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2010-07-01
2011-09-30,558000000.0,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2011-09-30,558000000.0,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2011Q3,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2011-12-31,1133000000.0,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2011-12-31,1133000000.0,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2011-12-31,575000000.0,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-10-01
2011-12-31,575000000.0,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2011Q4,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-10-01
2012-03-31,1724000000.0,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2012-03-31,1724000000.0,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2012-03-31,591000000.0,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-01-01
2012-03-31,591000000.0,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2012Q1,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-01-01
2012-06-30,2244000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2012-06-30,2244000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2012-06-30,2244000000.0,0001193125-13-455144,2013,FY,8-K,2013-11-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2012-06-30,2244000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2011-07-01
2012-09-30,603000000.0,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2012-09-30,603000000.0,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,CY2012Q3,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2012-12-31,1206000000.0,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2012-12-31,1206000000.0,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2012-12-31,603000000.0,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-10-01
2012-12-31,603000000.0,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,CY2012Q4,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-10-01
2013-03-31,1805000000.0,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-03-31,1805000000.0,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-03-31,599000000.0,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-01-01
2013-03-31,599000000.0,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,CY2013Q1,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-01-01
2013-06-30,2406000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2406000000.0,0001193125-13-455144,2013,FY,8-K,2013-11-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2406000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2406000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-06-30,2406000000.0,0001193125-15-353706,2015,FY,8-K,2015-10-27,CY2013,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2012-07-01
2013-09-30,635000000.0,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2013-09-30,635000000.0,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,CY2013Q3,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2013-12-31,1226000000.0,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2013-12-31,1226000000.0,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2013-12-31,591000000.0,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-10-01
2013-12-31,591000000.0,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,CY2013Q4,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-10-01
2014-03-31,1828000000.0,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2014-03-31,1828000000.0,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2014-03-31,602000000.0,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-01-01
2014-03-31,602000000.0,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,CY2014Q1,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-01-01
2014-06-30,2446000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2014-06-30,2446000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2014-06-30,2446000000.0,0001193125-15-353706,2015,FY,8-K,2015-10-27,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2014-06-30,2446000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2014,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2013-07-01
2014-09-30,646000000.0,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-07-01
2014-09-30,646000000.0,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,CY2014Q3,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-07-01
2014-12-31,1279000000.0,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-07-01
2014-12-31,1279000000.0,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-07-01
2014-12-31,633000000.0,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-10-01
2014-12-31,633000000.0,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,CY2014Q4,AllocatedShareBasedCompensationExpense,USD,MSFT,0000789019,2014-10-01
